Date,Hole,Par,Score,Played With,Weather,Temperature (C),Wind (mph)
10/08/2023,14,4,6,Ahmed,Partly Sunny,25,9.321
10/08/2023,15,4,6,Ahmed,Partly Sunny,25,9.321
10/08/2023,16,5,7,Ahmed,Partly Sunny,25,9.321
10/08/2023,17,3,5,Ahmed,Partly Sunny,25,9.321
10/08/2023,18,4,7,Ahmed,Partly Sunny,25,9.321
14/08/2023,1,3,5,Ahmed,Partly Sunny,20.5,13.05
14/08/2023,2,4,6,Ahmed,Partly Sunny,20.5,13.05
14/08/2023,3,3,5,Ahmed,Partly Sunny,20.5,13.05
14/08/2023,4,4,6,Ahmed,Partly Sunny,20.5,13.05
14/08/2023,5,3,5,Ahmed,Partly Sunny,20.5,13.05
14/08/2023,6,4,5,Ahmed,Partly Sunny,20.5,13.05
14/08/2023,7,5,7,Ahmed,Partly Sunny,20.5,13.05
14/08/2023,8,3,5,Ahmed,Partly Sunny,20.5,13.05
14/08/2023,9,4,6,Ahmed,Partly Sunny,20.5,13.05
14/08/2023,10,4,6,Ahmed,Partly Sunny,20.5,13.05
14/08/2023,11,3,3,Ahmed,Partly Sunny,20.5,13.05
14/08/2023,12,4,5,Ahmed,Partly Sunny,20.5,13.05
14/08/2023,13,5,5,Ahmed,Partly Sunny,20.5,13.05
14/08/2023,14,4,5,Ahmed,Partly Sunny,20.5,13.05
14/08/2023,15,4,6,Ahmed,Partly Sunny,20.5,13.05
14/08/2023,16,5,7,Ahmed,Partly Sunny,20.5,13.05
14/08/2023,17,3,6,Ahmed,Partly Sunny,20.5,13.05
14/08/2023,18,4,7,Ahmed,Partly Sunny,20.5,13.05
16/08/2023,1,3,6,Ahmed + Dad  ,Partly Sunny,24,6.214
16/08/2023,2,4,7,Ahmed + Dad  ,Partly Sunny,24,6.214
16/08/2023,3,3,4,Ahmed + Dad  ,Partly Sunny,24,6.214
16/08/2023,4,4,7,Ahmed + Dad  ,Partly Sunny,24,6.214
16/08/2023,5,3,5,Ahmed + Dad  ,Partly Sunny,24,6.214
16/08/2023,6,4,6,Ahmed + Dad  ,Partly Sunny,24,6.214
16/08/2023,7,5,6,Ahmed + Dad  ,Partly Sunny,24,6.214
16/08/2023,8,3,5,Ahmed + Dad  ,Partly Sunny,24,6.214
16/08/2023,9,4,5,Ahmed + Dad  ,Partly Sunny,24,6.214
16/08/2023,10,4,6,Ahmed + Dad  ,Partly Sunny,24,6.214
16/08/2023,11,3,4,Ahmed + Dad  ,Partly Sunny,24,6.214
16/08/2023,12,4,7,Ahmed + Dad  ,Partly Sunny,24,6.214
16/08/2023,13,5,6,Ahmed + Dad  ,Partly Sunny,24,6.214
16/08/2023,14,4,7,Ahmed + Dad  ,Partly Sunny,24,6.214
16/08/2023,15,4,5,Ahmed + Dad  ,Partly Sunny,24,6.214
16/08/2023,16,5,9,Ahmed + Dad  ,Partly Sunny,24,6.214
16/08/2023,17,3,4,Ahmed + Dad  ,Partly Sunny,24,6.214
16/08/2023,18,4,9,Ahmed + Dad  ,Partly Sunny,24,6.214
23/08/2024,1,3,4,Ahmed,Sunny,21,14.914
23/08/2024,2,4,9,Ahmed,Sunny,21,14.914
23/08/2024,3,3,5,Ahmed,Sunny,21,14.914
23/08/2024,4,4,5,Ahmed,Sunny,21,14.914
23/08/2024,5,3,5,Ahmed,Sunny,21,14.914
23/08/2024,6,4,6,Ahmed,Sunny,21,14.914
23/08/2024,7,5,10,Ahmed,Sunny,21,14.914
